"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.71465372892716e-24,0.782259068486077,0.525,0.457,1.43946412777946e-19,"0","ANKRD12"
7.93511940057648e-24,1.25968642050091,0.281,0.181,1.99877722581121e-19,"0","PRMT2"
2.27270332055336e-23,0.829738645646668,0.414,0.311,5.72471239414187e-19,"0","MYH9"
2.74067181393068e-23,1.01387385083868,0.354,0.255,6.90347823210998e-19,"0","OSBPL8"
3.42448651450171e-23,1.13389609771777,0.347,0.25,8.62593908137836e-19,"0","SMARCA2"
4.31344405169719e-23,1.17014221960644,0.252,0.154,1.08651342218201e-18,"0","TMEM181"
1.38868051017709e-22,1.22414087385628,0.297,0.2,3.49794733708507e-18,"0","AHNAK"
2.01318816048225e-22,1.00435004889673,0.395,0.311,5.07101965743875e-18,"0","SOS1"
2.94287990120071e-22,1.37639070647052,0.258,0.166,7.41282018313446e-18,"0","BICRAL"
5.16240944919142e-22,0.781259220465152,0.416,0.308,1.30035931615683e-17,"0","LDLRAD4"
8.65126734784386e-22,0.892491480194014,0.444,0.369,2.17916773224839e-17,"0","HERC1"
9.1680800528897e-22,1.04568511929871,0.396,0.318,2.30934768452239e-17,"0","WNK1"
2.65356821674662e-21,0.732034775075086,0.39,0.283,6.68407298116306e-17,"0","ST6GAL1"
8.67083434453851e-21,0.87928204080666,0.332,0.234,2.1840964630458e-16,"0","MSN"
9.13882199853465e-21,1.33143154715359,0.294,0.209,2.30197787321089e-16,"0","SERINC5"
4.1372629054819e-20,0.829154874858083,0.267,0.166,1.04213515326184e-15,"0","VAV3"
7.90086103398507e-20,0.400757092220518,0.532,0.423,1.9901478858505e-15,"0","RORA"
9.14328024726416e-20,0.948072743876706,0.398,0.325,2.30310086148337e-15,"0","HERC4"
1.16005377533475e-19,0.861587801257307,0.439,0.37,2.92205945469071e-15,"0","FAM172A"
1.67300503974835e-19,0.49237232918436,0.52,0.439,4.21413239462211e-15,"0","PICALM"
3.30774439012815e-19,0.748559674594904,0.44,0.354,8.33187734429378e-15,"0","JAK1"
5.89066590199782e-19,0.843071175172716,0.44,0.366,1.48379983405423e-14,"0","TGFBR2"
